animal_id	animal_type	sex	primary_bree	dob	secondary_	kennel_no	impound_no	intake_type	intake_subtype	intake_date	s_n_date	intake_cond	weight	weight_1_week	outcome_type	outcome_subtype	outcome_date	due_out_date	outcome_cond	days_old	dob_abs	intake_date_abs	outcome_date_abs	days_intake_to_s_n_date	location_1	location_1_date	location_2	location_2_date	behavior_cond	outcome_behavior_cond	euth_reason	intake_date_form_2	los	los_1	los_2	age_s_n_date	weight_difference	in_to_due_out_date_diff	due_out_to_outcome_date_diff
A162177	DOG	N	POMERANIAN	2013-11-28 00:00:00		7	K17-048484	STRAY	HEALTHY	2017-06-11 00:00:00		NORMAL	7.2		RTO	HEALTHY	2017-06-12 00:00:00	2017-06-20 00:00:00	NORMAL	1291.0					STRAY DOGS	2017-06-11 07:49:00	STRAY DOGS	2017-06-11 07:49:00				2017-06-11 00:00:00	1.0	0.32569	0.0			9.0	-8.0
A176913	DOG	S	LABRADOR RETR	2014-06-12 00:00:00	GERM SHEPHERD	8	K17-048485	STRAY	HEALTHY	2017-06-11 00:00:00		NORMAL	81.8		RTO	HEALTHY	2017-06-12 00:00:00	2017-06-20 00:00:00	NORMAL	1095.0												2017-06-11 00:00:00	1.0					9.0	-8.0
A176918	DOG	F	CHIHUAHUA SH	2008-06-12 00:00:00		9	K17-048486	STRAY	HEALTHY	2017-06-11 00:00:00		NORMAL			RTO	HEALTHY	2017-06-12 00:00:00	2017-06-15 00:00:00	NORMAL	3286.0												2017-06-11 00:00:00	1.0					4.0	-3.0
A069916	DOG	N	LABRADOR RETR	2008-08-06 00:00:00	MIX	1	K17-048487	STRAY	HEALTHY	2017-06-12 00:00:00		NORMAL	50.4		RTO	HEALTHY	2017-06-12 00:00:00	2017-06-20 00:00:00	NORMAL	3232.0												2017-06-12 00:00:00	0.0					8.0	-8.0
A176929	DOG	F	CHIHUAHUA SH	2010-06-12 00:00:00		STRAY DOGS	K17-048488	STRAY	HEALTHY	2017-06-12 00:00:00		NORMAL	6.0		RTO	HEALTHY	2017-06-12 00:00:00	2017-06-21 00:00:00	NORMAL	2557.0												2017-06-12 00:00:00	0.0					9.0	-9.0
A176944	DOG	N	TERRIER	2015-06-12 00:00:00	MIX	15	K17-048490	STRAY	HEALTHY	2017-06-12 00:00:00		NORMAL	21.6		RTO	HEALTHY	2017-06-12 00:00:00	2017-06-21 00:00:00	NORMAL	731.0												2017-06-12 00:00:00	0.0					9.0	-9.0
A176949	DOG	F	PIT BULL			22	K17-048491	STRAY	UNHEALTH	2017-06-12 00:00:00		DBUU 1			EUTH	UNHEALTHY	2017-06-16 00:00:00	2017-06-16 00:00:00	DBUU 1						21	2017-06-12 10:55:00	21	2017-06-12 10:55:00			UNHEALTHY	2017-06-12 00:00:00	4.0	0.45486	0.0			4.0	0.0
A176951	DOG	M	LABRADOR RETR	2016-10-01 00:00:00		10	K17-048492	STRAY	HEALTHY	2017-06-12 00:00:00		NORMAL	53.6		RTO	HEALTHY	2017-06-12 00:00:00	2017-06-21 00:00:00	NORMAL	254.0												2017-06-12 00:00:00	0.0					9.0	-9.0
A176956	CAT	M	DOMESTIC SH			ISO CAT	K17-048493	STRAY	REHAB	2017-06-12 00:00:00		CMTR 19	1.81		TRANS CAT	REHAB	2017-06-15 00:00:00	2017-06-16 00:00:00	CMTR 19													2017-06-12 00:00:00	3.0					4.0	-1.0
A176957	CAT	M	DOMESTIC SH			ISO CAT	K17-048494	STRAY	REHAB	2017-06-12 00:00:00		CMTR 19			TRANS CAT	REHAB	2017-06-15 00:00:00	2017-06-16 00:00:00	CMTR 19													2017-06-12 00:00:00	3.0					4.0	-1.0
A176991	KITTEN	S	DOMESTIC SH	2017-03-23 00:00:00		L02	K17-048495	STRAY	HEALTHY	2017-06-12 00:00:00	2017-06-20 00:00:00	CMH	2.75		ADOPTION	HEALTHY	2017-06-21 00:00:00	2017-06-16 00:00:00	CMH	81.0					STRAY CAT	2017-06-12 14:29:00	SURG HOLD	2017-06-20 12:41:00				2017-06-12 00:00:00	9.0	0.60347	7.925	89.0		4.0	5.0
A176996	DOG	N	BRUSS GRIFFON	2015-06-19 00:00:00		19	K17-048498	STRAY	HEALTHY	2017-06-12 00:00:00	2017-07-20 00:00:00	NORMAL	6.8		RTO	HEALTHY	2017-06-19 00:00:00	2017-06-21 00:00:00	NORMAL	724.0					RECEIVING	2017-06-12 15:18:00	RECEIVING	2017-06-12 15:52:00				2017-06-12 00:00:00	7.0	0.6375	0.02361	762.0		9.0	-2.0
A176997	KITTEN	N	DOMESTIC SH	2017-05-12 00:00:00		C43	K17-048499	STRAY	REHAB	2017-06-12 00:00:00	2017-07-13 00:00:00	CMTR 12	0.88		FOSTER-VO	REHAB	2017-06-17 00:00:00	2017-06-16 00:00:00	CMTR 12	31.0					STRAY CAT	2017-06-12 15:19:00	STRAY CAT	2017-06-12 15:25:00				2017-06-12 00:00:00	5.0	0.63819	0.00417	62.0		4.0	1.0
A177004	CAT	U	SIAMESE			STRAY CAT	K17-048500	STRAY	UNHEALTH	2017-06-12 00:00:00		CMUU 2			EUTH	UNHEALTHY	2017-06-12 00:00:00	2017-06-16 00:00:00	CMUU 2						FREEZER	2017-06-12 16:50:00	FREEZER	2017-06-12 16:50:00			UNHEALTHY	2017-06-12 00:00:00	0.0	0.70139	0.0			4.0	-4.0
A177008	CAT	S	DOMESTIC MH	2016-07-06 00:00:00		C34	K17-048502	STRAY	HEALTHY	2017-06-12 00:00:00		NORMAL	9.44		RTO	HEALTHY	2017-06-13 00:00:00	2017-06-21 00:00:00	NORMAL	341.0					STRAY CAT	2017-06-12 17:13:00	STRAY CAT	2017-06-12 17:18:00				2017-06-12 00:00:00	1.0	0.71736	0.00347			9.0	-8.0
A170195	DOG	N	WELSH CORGI PEM			18	K17-048503	STRAY	HEALTHY	2017-06-12 00:00:00		NORMAL	25.6		RTO	HEALTHY	2017-06-13 00:00:00	2017-06-21 07:00:00	NORMAL						RECEIVING	2017-06-12 17:31:00	RECEIVING	2017-06-12 17:31:00				2017-06-12 00:00:00	1.0	0.72986	0.0			9.29167	-8.29167
A118740	CAT	S	DOMESTIC SH	2006-01-18 00:00:00		C19	K17-048506	STRAY	REHAB	2017-06-13 00:00:00		CMTR 1	9.69		ADOPTION	REHAB	2017-07-11 00:00:00	2017-06-22 00:00:00	CMTR 1	4164.0					RECEIVING	2017-06-13 12:48:00	C38	2017-06-22 11:14:00				2017-06-13 00:00:00	28.0	0.53333	8.93472			9.0	19.0
A172800	DOG	S	PIT BULL	2015-07-01 00:00:00	BOXER	25	K17-048507	RETURN <30	HEALTHY	2017-06-13 00:00:00	2017-05-04 00:00:00	DMH	56.0		ADOPTION	HEALTHY	2017-06-17 00:00:00	2017-06-13 14:04:00	DMH	713.0					RECEIVING	2017-06-13 14:05:00	21	2017-06-13 14:24:00				2017-06-13 00:00:00	4.0	0.58681	0.01319	673.0		0.58611	3.41389
A177089	CAT	M	DOMESTIC MH			ISO CAT	K17-048508	STRAY	UNHEALTH	2017-06-13 00:00:00		CBUU 2			TRANS CAT	UNHEALTHY	2017-06-29 00:00:00	2017-06-24 00:00:00	CBUU 2						RECEIVING	2017-06-13 16:45:00	C46	2017-06-13 17:16:00				2017-06-13 00:00:00	16.0	0.69792	0.02153			11.0	5.0
A177098	DOG	M	TR WALKER HOUND			23	K17-048509	STRAY	HEALTHY	2017-06-13 00:00:00		NORMAL	42.6		RTO	HEALTHY	2017-06-14 00:00:00	2017-06-17 00:00:00	NORMAL						RECEIVING	2017-06-13 17:00:00	RECEIVING	2017-06-13 17:00:00				2017-06-13 00:00:00	1.0	0.70833	0.0			4.0	-3.0
A177117	DOG	N	LABRADOR RETR	2005-11-05 00:00:00	MIX	6	K17-048510	PRO CUST	HEALTHY	2017-06-14 00:00:00		NORMAL	82.6		RTO	HEALTHY	2017-06-14 00:00:00	2017-06-22 00:00:00	NORMAL	4239.0												2017-06-14 00:00:00	0.0					8.0	-8.0
A127687	CAT	S	DOMESTIC SH	2013-09-13 00:00:00		C15	K17-048513	STRAY	REHAB	2017-06-14 00:00:00	2014-09-23 00:00:00	CBTR 1	7.13		TRANS OHS	REHAB	2017-06-27 00:00:00	2017-06-23 00:00:00	CBTR 1	1370.0					RECEIVING	2017-06-14 12:55:00	C61	2017-06-21 14:31:00				2017-06-14 00:00:00	13.0	0.53819	7.06667	375.0		9.0	4.0
A177142	CAT	F	DOMESTIC LH			C53	K17-048514	STRAY	UNHEALTH	2017-06-14 00:00:00		CBUU 2	16.31		EUTH	UNHEALTHY	2017-06-19 00:00:00	2017-06-18 00:00:00	CBUU 2						RECEIVING	2017-06-14 13:08:00	RECEIVING	2017-06-14 13:13:00			UNHEALTHY	2017-06-14 00:00:00	5.0	0.54722	0.00347			4.0	1.0
A169005	CAT	N	DOMESTIC LH	2014-02-28 00:00:00		RECEIVING	K17-048515	STRAY	UNHEALTH	2017-06-14 00:00:00		CMUU 2	6.19		EUTH	UNHEALTHY	2017-06-14 00:00:00	2017-06-23 07:00:00	CMUU 2	1202.0											UNHEALTHY	2017-06-14 00:00:00	0.0					9.29167	-9.29167
A177150	DOG	M	CHIHUAHUA SH	1997-06-14 00:00:00		STRAY DOGS	K17-048517	STRAY	HEALTHY	2017-06-14 00:00:00		NORMAL			RTO	HEALTHY	2017-06-14 00:00:00	2017-06-18 00:00:00	NORMAL	7305.0												2017-06-14 00:00:00	0.0					4.0	-4.0
A177152	DOG	F	DOBERMAN PINSCH	2016-02-14 00:00:00		1	K17-048518	STRAY	HEALTHY	2017-06-14 00:00:00		NORMAL	65.0		RTO	HEALTHY	2017-06-14 00:00:00	2017-06-18 00:00:00	NORMAL	486.0					RECEIVING	2017-06-14 15:55:00	RECEIVING	2017-06-14 15:55:00				2017-06-14 00:00:00	0.0	0.66319	0.0			4.0	-4.0
A177160	CAT	M	DOMESTIC SH			RECEIVING	K17-048521	STRAY	UNHEALTH	2017-06-14 00:00:00		CMUU 5	7.56		EUTH	UNHEALTHY	2017-06-14 00:00:00	2017-06-19 00:00:00	CBUU 1												UNHEALTHY	2017-06-14 00:00:00	0.0					5.0	-5.0
A177163	CAT	M	DOMESTIC MH			C42	K17-048522	STRAY	UNHEALTH	2017-06-14 00:00:00		CMUU 2	1.38		EUTH	UNHEALTHY	2017-06-15 00:00:00	2017-06-18 00:00:00	CMUU 2						STRAY CAT	2017-06-14 17:01:00	STRAY CAT	2017-06-14 17:04:00			UNHEALTHY	2017-06-14 00:00:00	1.0	0.70903	0.00208			4.0	-3.0
A177177	DOG	M	AUST SHEPHERD			21	K17-048525	PRO CUST	HEALTHY	2017-06-15 00:00:00		NORMAL	77.0		RTO	HEALTHY	2017-06-16 00:00:00	2017-06-24 00:00:00	NORMAL						STRAY DOGS	2017-06-15 09:24:00	STRAY DOGS	2017-06-15 09:24:00				2017-06-15 00:00:00	1.0	0.39167	0.0			9.0	-8.0
A177190	CAT	M	DOMESTIC SH			ISO CAT	K17-048527	STRAY	UNHEALTH	2017-06-15 00:00:00		CMUU 9	1.44		EUTH	UNHEALTHY	2017-06-20 00:00:00	2017-06-20 00:00:00	CMUU 9						RECEIVING	2017-06-15 10:32:00	RECEIVING	2017-06-15 10:33:00			UNHEALTHY	2017-06-15 00:00:00	5.0	0.43889	0.00069			5.0	0.0
A177193	DOG	M	DACHSHUND	2015-12-16 00:00:00	MIX	24	K17-048529	STRAY	HEALTHY	2017-06-15 00:00:00		NORMAL	16.6		RTO	HEALTHY	2017-06-16 00:00:00	2017-06-20 00:00:00	NORMAL	547.0					RECEIVING	2017-06-15 11:09:00	RECEIVING	2017-06-15 11:09:00				2017-06-15 00:00:00	1.0	0.46458	0.0			5.0	-4.0
A064177	DOG	M	CHIHUAHUA SH	2008-04-11 00:00:00		23	K17-048530	STRAY	HEALTHY	2017-06-15 00:00:00		NORMAL	5.0		RTO	HEALTHY	2017-06-15 00:00:00	2017-06-20 00:00:00	NORMAL	3352.0												2017-06-15 00:00:00	0.0					5.0	-5.0
A095311	CAT	S	DOMESTIC LH	2008-06-22 00:00:00		C40	K17-048531	STRAY	HEALTHY	2017-06-15 00:00:00		NORMAL	8.63		RTO	HEALTHY	2017-06-17 00:00:00	2017-06-24 00:00:00	NORMAL	3280.0					RECEIVING	2017-06-15 11:37:00	RECEIVING	2017-06-15 11:46:00				2017-06-15 00:00:00	2.0	0.48403	0.00625			9.0	-7.0
A177202	CAT	S	DOMESTIC SH	2011-06-21 00:00:00	SIAMESE	C10	K17-048532	STRAY	REHAB	2017-06-15 00:00:00		CMTR 1	12.63		TRANS CAT	REHAB	2017-06-29 00:00:00	2017-06-20 00:00:00	CMTR 1	2186.0					RECEIVING	2017-06-15 11:41:00	C36	2017-06-21 12:39:00				2017-06-15 00:00:00	14.0	0.48681	6.04028			5.0	9.0
A378483	CAT	S	SIAMESE			C34	K17-048533	STRAY	HEALTHY	2017-06-15 00:00:00		NORMAL	5.69		RTO	HEALTHY	2017-06-15 00:00:00	2017-06-24 00:00:00	NORMAL						STRAY CAT	2017-06-15 12:35:00	STRAY CAT	2017-06-15 12:40:00				2017-06-15 00:00:00	0.0	0.52431	0.00347			9.0	-9.0
A177212	KITTEN	S	DOMESTIC SH	2017-05-15 00:00:00		C46	K17-048536	STRAY	REHAB	2017-06-15 00:00:00	2017-07-14 00:00:00	CMTR 12	0.88		FOSTER-VO	REHAB	2017-06-17 00:00:00	2017-06-15 00:00:00	CMTR 12	31.0					RECEIVING	2017-06-15 14:04:00	RECEIVING	2017-06-15 14:10:00				2017-06-15 00:00:00	2.0	0.58611	0.00417	60.0		0.0	2.0
A177213	CAT	S	DOMESTIC SH			C59	K17-048537	STRAY	HEALTHY	2017-06-15 00:00:00		CBH	7.81		TRANS CAT	HEALTHY	2017-06-21 00:00:00	2017-06-20 00:00:00	CBH						RECEIVING	2017-06-15 14:13:00	RECEIVING	2017-06-15 14:15:00				2017-06-15 00:00:00	6.0	0.59236	0.00139			5.0	1.0
A177217	KITTEN	N	DOMESTIC SH	2017-05-15 00:00:00		C46	K17-048538	STRAY	REHAB	2017-06-15 00:00:00	2017-07-14 00:00:00	CMTR 12	1.0		FOSTER-VO	REHAB	2017-06-17 00:00:00	2017-06-15 00:00:00	CMTR 12	31.0					RECEIVING	2017-06-15 14:35:00	RECEIVING	2017-06-15 14:35:00				2017-06-15 00:00:00	2.0	0.60764	0.0	60.0		0.0	2.0
A175810	CAT	N	DOMESTIC MH	2015-12-03 00:00:00		C07	K17-048539	RETURN <30	REHAB	2017-06-15 00:00:00	2017-06-03 00:00:00	CBTR 1	11.0		TRANS OHS	REHAB	2017-06-27 00:00:00	2017-06-15 16:21:00	CBTR 1	560.0					RECEIVING	2017-06-15 16:22:00	RECEIVING	2017-06-15 16:35:00				2017-06-15 00:00:00	12.0	0.68194	0.00903	548.0		0.68125	11.31875
A177233	CAT	S	DOMESTIC SH			C57	K17-048540	STRAY	HEALTHY	2017-06-15 00:00:00		NORMAL	8.31		RTO	HEALTHY	2017-06-16 00:00:00	2017-06-24 00:00:00	NORMAL						RECEIVING	2017-06-15 17:49:00	RECEIVING	2017-06-15 17:54:00				2017-06-15 00:00:00	1.0	0.74236	0.00347			9.0	-8.0
A177259	CAT	N	DOMESTIC SH	2013-06-21 00:00:00		C03	K17-048543	STRAY	REHAB	2017-06-16 00:00:00		CMTR 1	10.63		ADOPTION	REHAB	2017-06-22 00:00:00	2017-06-21 00:00:00	CMTR 1	1456.0					RECEIVING	2017-06-16 11:25:00	C55	2017-06-20 15:40:00				2017-06-16 00:00:00	6.0	0.47569	4.17708			5.0	1.0
A163581	DOG	S	GERM SHEPHERD	2016-07-23 00:00:00		4	K17-048545	STRAY	HEALTHY	2017-06-16 00:00:00		NORMAL	63.8		RTO	HEALTHY	2017-06-16 00:00:00	2017-06-24 00:00:00	NORMAL	328.0												2017-06-16 00:00:00	0.0					8.0	-8.0
A177264	DOG	N	SIBERIAN HUSKY	2015-07-16 00:00:00		5	K17-048546	STRAY	HEALTHY	2017-06-16 00:00:00		NORMAL	55.4		RTO	HEALTHY	2017-06-16 00:00:00	2017-06-24 00:00:00	NORMAL	701.0					RECEIVING	2017-06-16 11:48:00	RECEIVING	2017-06-16 11:51:00				2017-06-16 00:00:00	0.0	0.49167	0.00208			8.0	-8.0
A146924	DOG	N	PEKINGESE		MIX	20	K17-048547	STRAY	HEALTHY	2017-06-16 00:00:00		NORMAL			RTO	HEALTHY	2017-06-17 00:00:00	2017-06-25 00:00:00	NORMAL						RECEIVING	2017-06-16 11:52:00	RECEIVING	2017-06-16 11:52:00				2017-06-16 00:00:00	1.0	0.49444	0.0			9.0	-8.0
A106125	DOG	N	PARSON RUSS TER	2011-03-14 00:00:00		Q54	K17-048548	QUARANTINE	MANAGEAB	2017-06-16 00:00:00	2013-03-14 00:00:00	AGGRESSIVE			OWN/R EUTH	UNHEALTHY	2017-06-27 00:00:00	2017-06-26 00:00:00	DBUU 2	2286.0												2017-06-16 00:00:00	11.0			731.0		10.0	1.0
A177295	DOG	N	DACHSHUND	2007-09-27 00:00:00	MIX	26	K17-048551	STRAY	MANAGEAB	2017-06-16 00:00:00	2017-07-13 00:00:00	DBTM 2	16.3		RESCUE OTH	MANAGEABLE	2017-08-02 00:00:00	2017-06-21 00:00:00	DBTM 2	3550.0					RECEIVING	2017-06-16 16:42:00	32	2017-07-14 09:39:00				2017-06-16 00:00:00	47.0	0.69583	27.70625	3577.0		5.0	42.0
A177308	CAT	N	DOMESTIC MH			C30	K17-048553	STRAY	UNHEALTH	2017-06-17 00:00:00		CMUU 2	4.75		EUTH	UNHEALTHY	2017-06-20 00:00:00	2017-06-22 00:00:00	CMUU 2						STRAY CAT	2017-06-17 10:02:00	STRAY CAT	2017-06-17 10:05:00			UNHEALTHY	2017-06-17 00:00:00	3.0	0.41806	0.00208			5.0	-2.0
A177312	CAT	F	DOMESTIC MH			C32	K17-048555	STRAY	HEALTHY	2017-06-17 00:00:00		NORMAL	5.81		TRANS CAT	HEALTHY	2017-06-22 00:00:00	2017-06-22 00:00:00	NORMAL						RECEIVING	2017-06-17 12:02:00	RECEIVING	2017-06-17 12:14:00				2017-06-17 00:00:00	5.0	0.50139	0.00833			5.0	0.0
A177318	CAT	F	DOMESTIC SH			C46	K17-048556	STRAY	HEALTHY	2017-06-17 00:00:00		NORMAL	3.38		TRANS CAT	HEALTHY	2017-06-22 00:00:00	2017-06-22 00:00:00	MEDICAL						RECEIVING	2017-06-17 14:53:00	RECEIVING	2017-06-17 14:58:00				2017-06-17 00:00:00	5.0	0.62014	0.00347			5.0	0.0
A177319	DOG	S	DACHSHUND	2010-06-23 00:00:00		26	K17-048557	STRAY	REHAB	2017-06-17 00:00:00		DMTR 1	14.6		ADOPTION	REHAB	2017-06-24 00:00:00	2017-06-22 00:00:00	DMTR 1	2551.0					STRAY DOGS	2017-06-17 15:11:00	23	2017-06-24 08:59:00				2017-06-17 00:00:00	7.0	0.63264	6.74167			5.0	2.0
A095311	CAT	S	DOMESTIC LH	2008-06-22 00:00:00		C04	K17-048558	OWNER SUR	REHAB	2017-06-17 00:00:00		CMTR 1		8.94	ADOPTION	REHAB	2017-06-29 00:00:00	2017-06-17 00:00:00	CMTR 1	3282.0					C40	2017-06-17 15:31:00	C40	2017-06-24 11:04:00				2017-06-17 00:00:00	12.0	0.64653	6.81458			0.0	12.0
A177320	DOG	M	CATAHOULA	2016-06-17 00:00:00	BLACK MOUTH CUR	Q51	K17-048559	QUARANTINE	MANAGEAB	2017-06-17 00:00:00		NORMAL			RTO	MANAGEABLE	2017-06-26 00:00:00	2017-06-24 07:00:00	NORMAL	365.0					Q DOGS	2017-06-17 17:07:00	Q DOGS	2017-06-17 17:07:00				2017-06-17 00:00:00	9.0	0.71319	0.0			7.29167	1.70833
A163068	DOG	N	MIN PINSCHER	2005-01-01 00:00:00		4	K17-048560	STRAY	HEALTHY	2017-06-18 00:00:00		NORMAL	11.6		RTO	HEALTHY	2017-06-19 00:00:00	2017-06-27 00:00:00	NORMAL	4551.0					STRAY DOGS	2017-06-18 07:46:00	STRAY DOGS	2017-06-18 07:46:00				2017-06-18 00:00:00	1.0	0.32361	0.0			9.0	-8.0
A177348	DOG	S	NORW ELKHOUND	2013-06-18 00:00:00	MIX	22	K17-048562	STRAY	HEALTHY	2017-06-18 00:00:00		NORMAL	43.4		RTO	HEALTHY	2017-06-19 00:00:00	2017-06-27 00:00:00	NORMAL	1461.0					RECEIVING	2017-06-18 15:38:00	RECEIVING	2017-06-18 15:38:00				2017-06-18 00:00:00	1.0	0.65139	0.0			9.0	-8.0
A177354	DOG	F	ROTTWEILER	2015-08-14 00:00:00		Q53	K17-048564	STRAY	UNHEALTH	2017-06-19 00:00:00		DBUU 2			RTO	UNHEALTHY	2017-06-20 00:00:00	2017-06-30 00:00:00	DBUU 2	675.0												2017-06-19 00:00:00	1.0					11.0	-10.0
A177358	DOG	N	AM PIT BULL TER	2007-04-23 00:00:00		10	K17-048565	STRAY	UNHEALTH	2017-06-19 00:00:00		DMUU 5	59.4		RTO	UNHEALTHY	2017-06-28 00:00:00	2017-06-28 00:00:00	DMUU 5	3710.0					16	2017-06-19 09:52:00	16	2017-06-28 09:54:00				2017-06-19 00:00:00	9.0	0.41111	9.00139			9.0	0.0
A177372	DOG	N	AM PIT BULL TER			2	K17-048567	STRAY	HEALTHY	2017-06-19 00:00:00		NORMAL	76.6		RTO	HEALTHY	2017-06-24 00:00:00	2017-06-28 00:00:00	NORMAL													2017-06-19 00:00:00	5.0					9.0	-4.0
A177374	DOG	N	PIT BULL	2014-06-24 00:00:00		29	K17-048568	STRAY	REHAB	2017-06-19 00:00:00	2017-06-29 00:00:00	DMTR 1	77.2		ADOPTION	REHAB	2017-07-11 00:00:00	2017-06-23 07:00:00	DMTR 1	1091.0					RECEIVING	2017-06-19 11:02:00	36	2017-06-24 12:45:00				2017-06-19 00:00:00	22.0	0.45972	5.07153	1101.0		4.29167	17.70833
A163117	CAT	N	DOMESTIC SH	2007-01-07 00:00:00		C02	K17-048569	RETURN<365	UNHEALTH	2017-06-19 00:00:00		CMUU 5	10.75		ADOPTION	UNHEALTHY	2017-07-14 00:00:00	2017-06-19 11:02:00	CMUU 5	3816.0					RECEIVING	2017-06-19 11:03:00	C57	2017-06-19 14:02:00				2017-06-19 00:00:00	25.0	0.46042	0.12431			0.45972	24.54028
A151050	DOG	N	LHASA APSO	2013-06-08 00:00:00	MIX	25	K17-048570	RETURN>1Y	REHAB	2017-06-19 00:00:00	2016-06-10 00:00:00	DMTR 1	16.4		ADOPTION	REHAB	2017-06-23 00:00:00	2017-06-19 00:00:00	DMTR 1	1472.0					RECEIVING	2017-06-19 14:07:00	20	2017-06-23 10:17:00				2017-06-19 00:00:00	4.0	0.58819	3.84028	1098.0		0.0	4.0
A176392	DOG	F	PARSON RUSS TER			Q50	K17-048573	PRO CUST	HEALTHY	2017-06-19 00:00:00		NORMAL	10.25		RTO	HEALTHY	2017-06-21 00:00:00	2017-06-28 00:00:00	NORMAL						PRO CUST	2017-06-19 16:37:00	Q55	2017-06-19 16:40:00				2017-06-19 00:00:00	2.0	0.69236	0.00208			9.0	-7.0
A123917	DOG	M	PIT BULL	2013-10-27 00:00:00		5	K17-048574	STRAY	HEALTHY	2017-06-19 00:00:00		NORMAL	60.0		RTO	HEALTHY	2017-06-20 00:00:00	2020-06-28 17:00:00	NORMAL	1331.0					STRAY DOGS	2017-06-19 17:55:00	12	2017-06-20 09:29:00				2017-06-19 00:00:00	1.0	0.74653	0.64861			1105.70833	-1104.70833
A177443	DOG	F	ENG SPRNGR SPAN		MIX	3	K17-048577	STRAY	HEALTHY	2017-06-20 00:00:00		NORMAL	35.2		RTO	HEALTHY	2017-06-20 00:00:00	2017-06-24 00:00:00	NORMAL						STRAY DOGS	2017-06-20 09:25:00	STRAY DOGS	2017-06-20 09:25:00				2017-06-20 00:00:00	0.0	0.39236	0.0			4.0	-4.0
A177444	DOG	M	CHIHUAHUA SH	2013-06-20 00:00:00		4	K17-048578	PRO CUST	HEALTHY	2017-06-20 00:00:00		NORMAL	9.2		RTO	HEALTHY	2017-06-23 00:00:00	2017-06-29 00:00:00	NORMAL	1461.0												2017-06-20 00:00:00	3.0					9.0	-6.0
A148092	DOG	N	CHIHUAHUA SH	2012-04-15 00:00:00		27	K17-048580	RETURN>1Y	MANAGEAB	2017-06-20 00:00:00	2016-04-21 00:00:00	DMTM 8			ADOPTION	MANAGEABLE	2017-07-01 00:00:00	2017-06-20 11:46:00	DMTM 8	1892.0					RECEIVING	2017-06-20 11:46:00	26	2017-06-23 10:37:00				2017-06-20 00:00:00	11.0	0.49028	2.95208	1467.0		0.49028	10.50972
A117511	DOG	S	SHIH TZU	2009-11-04 00:00:00	MIX	6	K17-048581	STRAY	HEALTHY	2017-06-20 00:00:00		NORMAL	9.0		RTO	HEALTHY	2017-06-21 00:00:00	2017-06-24 00:00:00	NORMAL	2785.0												2017-06-20 00:00:00	1.0					4.0	-3.0
A177463	CAT	F	DOMESTIC LH			C49	K17-048583	STRAY	REHAB	2017-06-20 00:00:00		CMTR 12	1.31		FOSTER-VO	REHAB	2017-06-24 00:00:00	2017-06-24 00:00:00	CMTR 12						RECEIVING	2017-06-20 14:49:00	RECEIVING	2017-06-20 14:59:00				2017-06-20 00:00:00	4.0	0.61736	0.00694			4.0	0.0
A177465	CAT	U	DOMESTIC MH			C34	K17-048584	STRAY	UNHEALTH	2017-06-20 00:00:00		CBUU 1	5.69		RESCUE OTH	UNHEALTHY	2017-06-27 00:00:00	2017-06-24 00:00:00	CBUU 1						RECEIVING	2017-06-20 14:57:00	RECEIVING	2017-06-20 15:03:00				2017-06-20 00:00:00	7.0	0.62292	0.00417			4.0	3.0
A177467	DOG	M	LABRADOR RETR	2016-06-20 00:00:00	WEIMARANER	19	K17-048586	STRAY	HEALTHY	2017-06-20 00:00:00		NORMAL	67.6		RTO	HEALTHY	2017-06-20 00:00:00	2017-06-24 07:00:00	NORMAL	365.0					RECEIVING	2017-06-20 15:45:00	RECEIVING	2017-06-20 15:45:00				2017-06-20 00:00:00	0.0	0.65625	0.0			4.29167	-4.29167
A177468	DOG	F	YORKSHIRE TERR	2009-11-04 00:00:00		22	K17-048587	STRAY	HEALTHY	2017-06-20 00:00:00		NORMAL	5.4		RTO	HEALTHY	2017-06-20 00:00:00	2017-06-24 00:00:00	NORMAL	2785.0					RECEIVING	2017-06-20 15:46:00	RECEIVING	2017-06-20 15:46:00				2017-06-20 00:00:00	0.0	0.65694	0.0			4.0	-4.0
A177471	KITTEN	S	DOMESTIC LH	2017-04-18 00:00:00		L01	K17-048589	STRAY	REHAB	2017-06-20 00:00:00	2017-06-27 00:00:00	CMTR 12	1.75		ADOPTION	REHAB	2017-06-29 00:00:00	2017-06-24 00:00:00	CMTR 12	63.0					STRAY CAT	2017-06-20 16:55:00	SURG HOLD	2017-06-27 12:09:00				2017-06-20 00:00:00	9.0	0.70486	6.80139	70.0		4.0	5.0
A177486	CAT	F	DOMESTIC SH			C53	K17-048591	STRAY	HEALTHY	2017-06-21 00:00:00		NORMAL			RTO	HEALTHY	2017-06-21 00:00:00	2017-06-30 00:00:00	NORMAL						RECEIVING	2017-06-21 12:37:00	RECEIVING	2017-06-21 12:39:00				2017-06-21 00:00:00	0.0	0.52569	0.00139			9.0	-9.0
A177487	CAT	S	SIAMESE	2014-06-28 00:00:00	MIX	C07	K17-048592	STRAY	REHAB	2017-06-21 00:00:00		CBTR 1	11.56		ADOPTION	REHAB	2017-06-29 00:00:00	2017-06-25 00:00:00	CBTR 1	1089.0					RECEIVING	2017-06-21 12:38:00	C30	2017-06-24 14:27:00				2017-06-21 00:00:00	8.0	0.52639	3.07569			4.0	4.0
